Dataset name,Num graphs,Graph ID,Directed,Num nodes,Num edges,Average degree,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,Execution time
ogbg-molpcba,437929,213648,False,31,34,2.193548387096774,0.0,0.07311827956989247,1,31,34,6.374193548387097,16,8,0.005262851715087891
ogbg-molpcba,437929,266570,False,25,28,2.24,0.0,0.09333333333333334,1,25,28,5.343333333333334,14,7,0.003455638885498047
ogbg-molpcba,437929,379822,False,26,27,2.076923076923077,0.0,0.08307692307692308,1,26,27,6.443076923076923,16,8,0.001758575439453125
ogbg-molpcba,437929,39525,False,28,30,2.142857142857143,0.0,0.07936507936507936,1,28,30,6.5476190476190474,17,9,0.0020170211791992188
ogbg-molpcba,437929,405109,False,26,28,2.1538461538461537,0.0,0.08615384615384615,1,26,28,5.68,14,7,0.0017545223236083984
ogbg-molpcba,437929,134132,False,30,31,2.066666666666667,0.0,0.07126436781609195,1,30,31,6.581609195402299,16,8,0.0022199153900146484
ogbg-molpcba,437929,44332,False,31,32,2.064516129032258,0.0,0.06881720430107527,1,31,32,6.851612903225806,16,8,0.002302885055541992
ogbg-molpcba,437929,328664,False,26,29,2.230769230769231,0.0,0.08923076923076922,1,26,29,5.593846153846154,14,7,0.0017321109771728516
ogbg-molpcba,437929,19271,False,23,24,2.0869565217391304,0.0,0.09486166007905138,1,23,24,4.292490118577075,10,5,0.001394510269165039
ogbg-molpcba,437929,377974,False,16,17,2.125,0.0,0.14166666666666666,1,16,17,4.075,10,5,0.0008189678192138672
ogbg-molpcba,437929,351948,False,17,18,2.1176470588235294,0.0,0.1323529411764706,1,17,18,4.227941176470588,11,6,0.0009210109710693359
ogbg-molpcba,437929,226247,False,18,19,2.111111111111111,0.0,0.12418300653594772,1,18,19,4.588235294117647,11,6,0.0009789466857910156
ogbg-molpcba,437929,284006,False,31,33,2.129032258064516,0.0,0.07096774193548387,1,31,33,6.795698924731183,18,9,0.002351045608520508
ogbg-molpcba,437929,277379,False,18,20,2.2222222222222223,0.0,0.13071895424836602,1,18,20,3.5947712418300655,9,5,0.0009675025939941406
ogbg-molpcba,437929,287194,False,26,29,2.230769230769231,0.0,0.08923076923076922,1,26,29,5.3538461538461535,14,7,0.0017712116241455078
ogbg-molpcba,437929,371442,False,30,32,2.1333333333333333,0.0,0.0735632183908046,1,30,32,7.101149425287356,19,10,0.0022683143615722656
ogbg-molpcba,437929,421838,False,27,30,2.2222222222222223,0.0,0.08547008547008547,1,27,30,5.3076923076923075,11,6,0.0018508434295654297
ogbg-molpcba,437929,257370,False,27,30,2.2222222222222223,0.0,0.08547008547008547,1,27,30,5.9601139601139606,16,8,0.0019011497497558594
ogbg-molpcba,437929,368216,False,29,31,2.1379310344827585,0.0,0.07635467980295567,1,29,31,6.4926108374384235,17,9,0.002122640609741211
ogbg-molpcba,437929,388894,False,22,24,2.1818181818181817,0.0,0.1038961038961039,1,22,24,5.0519480519480515,13,7,0.0013949871063232422
ogbg-molpcba,437929,75084,False,29,30,2.0689655172413794,0.0,0.07389162561576355,1,29,30,6.438423645320197,17,9,0.0020885467529296875
ogbg-molpcba,437929,380337,False,31,34,2.193548387096774,0.0,0.07311827956989247,1,31,34,6.78494623655914,18,9,0.002391815185546875
ogbg-molpcba,437929,147239,False,19,20,2.1052631578947367,0.0,0.11695906432748537,1,19,20,5.093567251461988,13,7,0.0011017322540283203
ogbg-molpcba,437929,299862,False,23,24,2.0869565217391304,0.0,0.09486166007905138,1,23,24,5.4940711462450595,14,7,0.0014331340789794922
ogbg-molpcba,437929,69021,False,34,37,2.176470588235294,0.0,0.0659536541889483,1,34,37,7.68270944741533,21,11,0.0028314590454101562
ogbg-molpcba,437929,324676,False,25,27,2.16,0.0,0.09,1,25,27,5.196666666666666,12,6,0.0016024112701416016
ogbg-molpcba,437929,381998,False,27,29,2.1481481481481484,0.0,0.08262108262108261,1,27,29,5.789173789173789,14,7,0.0018613338470458984
ogbg-molpcba,437929,281997,False,24,26,2.1666666666666665,0.0,0.09420289855072464,1,24,26,5.931159420289855,15,8,0.0016138553619384766
ogbg-molpcba,437929,245973,False,27,30,2.2222222222222223,0.0,0.08547008547008547,1,27,30,5.076923076923077,12,6,0.001811981201171875
ogbg-molpcba,437929,51134,False,27,28,2.074074074074074,0.0,0.07977207977207977,1,27,28,5.908831908831909,16,8,0.0018970966339111328
ogbg-molpcba,437929,255763,False,28,30,2.142857142857143,0.0,0.07936507936507936,1,28,30,6.074074074074074,17,9,0.001998424530029297
ogbg-molpcba,437929,397835,False,30,32,2.1333333333333333,0.0,0.0735632183908046,1,30,32,6.9816091954022985,17,9,0.002256155014038086
ogbg-molpcba,437929,398624,False,35,38,2.1714285714285713,0.0,0.06386554621848739,1,35,38,7.591596638655462,21,11,0.0030117034912109375
ogbg-molpcba,437929,72765,False,25,26,2.08,0.0,0.08666666666666667,1,25,26,6.3533333333333335,15,8,0.0016622543334960938
